company,ticker,sector,disclosure_year,manipulation_window_start,manipulation_window_end,issue_summary
Satyam Computer Services,SATYAM,IT Services,2009,2007,2008,Fictitious cash balances and inflated revenue/profit figures admitted by chairman
DHFL,DHFL,Housing Finance NBFC,2019,2017,2018,Alleged diversion of loans to shell entities; fictitious retail loan book
IL&FS,ILFS,Infrastructure Finance,2018,2016,2017,Concealed debt levels and misstated financial position leading to default
Yes Bank,YESBANK,Private Banking,2020,2017,2018,Under-reporting of non-performing assets flagged by RBI divergence reports
Manpasand Beverages,MANPASAND,FMCG Beverages,2019,2017,2018,Fictitious sales through non-existent dealers; auditor resignation
Ricoh India,RICOH,Office Equipment/IT Services,2016,2014,2015,Overstatement of revenue and understatement of expenses via manipulated invoices
Kingfisher Airlines,KFAIRLINES,Aviation,2012,2009,2010,Asset and liability misstatement amid mounting losses and loan defaults
PC Jeweller,PCJEWELLER,Jewellery Retail,2019,2017,2018,Related-party transaction and receivables concerns; promoter pledging
Vakrangee,VAKRANGEE,Retail/E-Governance,2018,2016,2017,Revenue recognition and channel-stuffing concerns flagged by short-seller report
Sintex Industries,SINTEX,Textiles/Plastics,2019,2017,2018,Liquidity and debt misstatement amid working capital stress
Religare Enterprises,RELIGARE,Financial Services,2019,2016,2017,Alleged fund diversion by promoters from group financial entities
Fortis Healthcare,FORTIS,Healthcare,2018,2015,2016,Alleged promoter-related fund diversion flagged by forensic audit
